reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
Amazing boat trip,Fantastic day once again our 3rd time with michalis and antonia food was amazing as always and the seafood.. Wow... ️️ Highly recommended and we will be back next year,Date of experience: September 2019,Fishing Tourism Kefalonia Michalis,5,"Cephalonia, Greece"
Fantastic Trip,"I don't normally write reviews but here we go, another fantastic day with our friends and crew that is Michalis Antonia and Hassan, amazing food caught before our very eyes and all cooked to perfection the wine was very nice as well!!!
Highly recommended, roll on September for our third trip on this wonderful working fishing boat looking forward to seeing you all again soon.
Phil x",Date of experience: May 2019,Fishing Tourism Kefalonia Michalis,5,"Cephalonia, Greece"
