reviewTitle,review_details,reviewDate,reviewFor,reviewRating,reviewLocation
This was a ripper tour!,"Friendly and informative captain, Giorgos. Enjoyable net-fishing experience followed by a sumptuous buffet on board (which included our catch of red mullet - delicious!).

Also included swimming stops and a beach stop. A top-value experience not to be missed!

Would definitely recommend - Tom and Trish",Date of experience: September 2018,Zante Fishing Tours,5,"Zakynthos, Greece"
Best pizza in Crete!,"These guys seriously know pizza! Full of flavour, super fresh and delicious pasta and sides too. Hands down the best pizza in Crete!",Date of visit: July 2018,Mad Pizza é Bar,5,"Crete, Greece"
