,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/jopQ3364GK,July 2020,5,Great experience,"Very nice experience, a relaxing day with captain and Paris and Poppy. It would be important for everyone in this fantastic Limnos."
1,https://www.tripadvisor.com/Profile/efstratios18,August 2019,4,Very nice!!,"Especially if you are traveling with kids, this will be a trip to remember!!  From picking and clearing the nets to swimming in secluded beach that can be reached only by sea and eating really fresh fish cooked on board👍 Many thanks to our captain and of course Theopoula that took care of us.  Hope we see you again!! …"
