,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/Q7473ECandyt,August 2019,5,Local fishermen show us the local fishing ways,"The trip was amazing.   We had a long boat trip, we did fishing and at the end we cooked the ""fruits of our labor"".  I can't wait to do it again"
1,https://www.tripadvisor.com/Profile/Tourist409477,August 2019,5,Fishihg trip experience,Perfect i 'll do it again!l!l   experience the local culture with a local family fishermans!!!!!!!   We doing the fishing after that we take the fishesand we are eating a very good meal !!!!!!
