,reviewer_profile,date,rating,title,text
0,https://www.tripadvisor.com/Profile/Ralukus,September 2020,5,Amazing trip,"Lovely adventure, wonderful people capitan Nikitas and his assistant Marina :) Excellent services and swiming places, the food was delicious."
1,https://www.tripadvisor.com/Profile/Eipini1988,September 2019,5,Wonderful fhishing trip around Paros,The trip is beautiful anywhere you plan to go around Paros. The fish soup that captain Nikitas serves is excellent and the whole trip gives you a lovely Aegean feel👍
2,https://www.tripadvisor.com/Profile/Pailon7038,July 2019,5,Beautiful beaches amazing food!,"The captain knows the best spots for swimming! His friendly daughter is very helpful too.the launch offered is very tasty, traditional and handmade.and of course the boat is one of the most beautiful in the islands"
