,badge,subtext
0,New Reviewer,1 Review
1,New Photographer,1 Photo
2,Beginner Photographer,3 Photos
3,Helpful Reviewer,1 Vote
4,Readership,100 Readers
5,Junior Photographer,5 Photos
6,Readership,500 Readers
7,Readership,"1,000 Readers"
8,Photographer,10 Photos
9,Explorer,1 Review
10,Readership,"5,000 Readers"
11,Readership,"10,000 Readers"
