,badge,subtext
0,New Reviewer,1 Review
1,Reviewer,3 Reviews
2,Readership,100 Readers
3,Restaurant Expert ,Level 2
4,Senior Reviewer,5 Reviews
5,Readership,500 Readers
6,Readership,"1,000 Readers"
7,Contributor,10 Reviews
8,Passport,8 Cities
9,Readership,"5,000 Readers"
